Any,zona,nomCom,nomDem,F_MORTS,F_FERITS_GREUS,F_FERITS_LLEUS,F_VICTIMES,F_UNITATS_IMPLICADES,F_VIANANTS_IMPLICADES,F_BICICLETES_IMPLICADES,F_CICLOMOTORS_IMPLICADES,F_MOTOCICLETES_IMPLICADES,F_VEH_LLEUGERS_IMPLICADES,F_VEH_PESANTS_IMPLICADES,C_VELOCITAT_VIA,D_BOIRA,D_CARACT_ENTORN,D_CARRIL_ESPECIAL,D_CIRCULACIO_MESURES_ESP,D_CLIMATOLOGIA,D_FUNC_ESP_VIA,D_INTER_SECCIO,D_LIMIT_VELOCITAT,D_LLUMINOSITAT,D_REGULACIO_PRIORITAT,D_SENTITS_VIA,D_SUBTIPUS_ACCIDENT,D_SUBTIPUS_TRAM,D_SUBZONA,D_SUPERFICIE,D_TIPUS_VIA,D_TITULARITAT_VIA,D_TRACAT_ALTIMETRIC,D_VENT,hor,grupHor,tipAcc,tipDia,Mes,Mortalitat
2010,1,42,0,0,1,0,1,2,0,0,0,0,1,0,100.0,0,1,11,4,0,2,0,0,4,6,2,4,3,2,5,5,5,4,0,23.33,1,4,1,1,0
2010,0,34,2,0,1,3,4,1,0,0,0,0,1,0,40.0,0,0,11,4,0,2,1,1,4,4,0,7,2,0,5,4,2,2,0,1.0,1,5,0,10,0
2010,0,20,1,1,0,2,3,4,0,0,0,0,2,2,80.0,0,0,11,4,0,4,2,1,1,3,0,3,5,0,5,4,2,3,0,15.27,2,4,1,5,1
2010,1,13,0,0,2,7,9,2,0,0,0,0,2,0,100.0,0,3,11,4,0,2,1,0,4,2,2,5,0,2,5,5,5,4,0,22.3,1,4,2,8,0
2010,1,13,0,0,1,0,1,1,0,0,0,1,0,0,100.0,0,3,11,4,0,2,1,0,1,6,2,2,0,2,5,5,5,4,0,17.45,2,2,3,5,0
2010,0,23,3,0,1,1,2,2,0,0,1,0,1,0,40.0,0,2,11,4,0,2,1,1,1,4,0,4,3,0,5,0,3,3,0,14.57,2,4,1,8,0
2010,1,13,0,0,1,0,1,2,0,0,0,1,1,0,100.0,0,3,11,4,0,2,2,0,4,3,0,4,5,2,5,5,5,4,0,20.54,2,4,1,1,0
2010,1,13,0,1,0,1,2,2,1,0,0,1,0,0,100.0,0,3,11,4,0,2,2,0,1,3,0,1,5,2,5,5,5,4,0,10.55,0,1,2,10,1
2010,0,42,0,0,1,2,3,2,0,0,0,0,2,0,100.0,0,1,11,4,0,2,2,1,5,3,0,5,5,0,5,4,2,2,0,5.3,1,4,2,6,0
2010,0,41,0,0,1,0,1,2,0,0,0,1,1,0,100.0,0,0,11,4,0,2,2,0,1,3,0,6,5,0,5,0,3,2,0,14.3,2,4,3,2,0
2010,1,10,1,0,1,1,2,3,2,0,0,0,1,0,100.0,0,0,11,4,0,3,2,0,1,3,0,1,5,1,5,4,1,2,0,18.3,2,1,1,6,0
2010,1,5,0,0,1,0,1,2,0,0,1,0,1,0,30.0,0,0,11,4,0,2,2,1,2,3,0,3,5,2,4,5,3,2,0,13.5,0,4,1,10,0
2010,0,20,1,0,1,0,1,2,0,0,0,1,1,0,80.0,0,2,11,4,0,4,2,1,1,3,0,6,5,0,5,4,2,2,0,16.05,2,4,0,5,0
2010,1,13,0,0,1,0,1,2,0,0,0,1,1,0,100.0,0,3,11,4,0,2,2,0,1,3,0,2,5,2,5,5,5,4,0,9.1,0,2,3,12,0
2010,1,8,3,0,1,0,1,2,1,0,0,1,0,0,100.0,0,3,11,4,0,2,2,0,1,3,1,1,5,2,5,5,5,4,0,13.0,0,1,3,10,0
2010,1,19,1,0,1,1,2,3,1,0,0,1,1,0,30.0,0,0,11,4,0,2,2,1,1,3,0,1,5,2,5,5,5,4,0,13.02,0,1,0,6,0
2010,1,34,2,0,1,0,1,2,1,0,0,0,1,0,100.0,0,3,11,4,0,2,2,0,1,3,1,1,5,2,5,5,5,4,0,9.15,0,1,1,9,0
2010,0,25,0,0,1,2,3,3,0,0,0,0,3,0,100.0,0,4,11,4,0,2,0,0,1,4,0,4,0,0,5,4,4,3,0,8.0,0,4,1,7,0
2010,1,13,0,1,0,0,1,2,1,0,0,0,1,0,100.0,0,3,11,4,0,2,2,0,1,3,2,1,5,2,5,5,5,4,0,16.4,2,1,3,7,1
2010,0,3,2,0,3,5,8,3,0,0,0,0,3,0,100.0,0,2,11,4,0,2,1,0,1,4,0,3,3,0,5,4,1,3,0,11.04,0,4,2,3,0
2010,0,35,1,0,1,1,2,2,0,0,0,0,2,0,100.0,0,4,11,4,0,2,2,0,1,3,0,3,5,0,5,4,1,3,0,15.15,2,4,1,8,0
2010,1,11,0,0,1,1,2,2,0,0,0,0,1,1,40.0,0,0,11,4,0,3,1,1,1,2,0,5,0,1,5,5,5,4,0,11.2,0,4,1,10,0
2010,0,42,0,0,1,0,1,1,0,0,0,0,1,0,80.0,0,0,11,4,4,2,2,1,2,3,2,7,5,0,2,4,1,3,0,14.5,2,5,3,5,0
2010,1,41,0,1,0,0,1,2,0,0,0,1,1,0,50.0,0,0,11,4,0,2,0,1,4,6,0,6,0,2,5,5,5,4,0,5.51,1,4,1,2,1
2010,1,42,0,0,1,0,1,1,0,0,0,0,1,0,100.0,0,0,11,4,0,2,1,0,4,6,0,12,3,2,5,5,5,4,0,7.47,0,3,0,10,0
2010,0,11,0,0,1,0,1,2,1,0,0,0,0,1,100.0,0,3,11,4,0,2,2,0,1,3,1,1,5,0,5,0,5,4,0,11.39,0,1,1,8,0
2010,1,39,2,1,0,0,1,2,1,0,0,0,1,0,100.0,0,0,11,4,0,3,2,0,1,3,0,1,5,1,5,5,1,2,0,20.25,2,1,1,6,1
2010,1,13,0,0,1,0,1,2,1,0,0,0,1,0,100.0,0,3,11,4,0,2,2,0,1,3,0,1,5,2,5,5,5,4,0,15.3,2,1,0,1,0
2010,1,7,0,0,1,1,2,2,1,0,1,0,0,0,100.0,0,0,11,4,0,2,2,0,4,3,2,1,5,2,4,5,5,4,0,22.3,1,1,2,4,0
2010,1,37,3,0,1,0,1,3,0,0,1,0,2,0,50.0,0,0,11,4,0,3,2,1,4,3,0,5,5,1,5,4,4,2,0,20.41,2,4,1,9,0
2010,1,13,0,0,1,0,1,2,1,0,0,0,1,0,100.0,0,3,11,4,0,2,2,0,1,3,2,1,5,2,5,5,5,4,0,12.2,0,1,1,2,0
2010,0,13,0,0,2,0,2,2,0,0,1,1,0,0,30.0,0,3,7,5,0,2,2,1,1,3,0,3,5,0,5,4,4,4,0,9.5,0,4,1,7,0
2010,0,42,0,0,1,1,2,2,0,0,0,0,1,1,100.0,0,2,11,4,0,2,2,0,1,3,0,3,5,0,5,4,1,3,0,19.46,2,4,3,7,0
2010,1,13,0,0,2,2,4,6,0,0,1,4,0,1,100.0,0,3,11,4,0,2,2,0,0,3,2,2,5,2,4,5,5,4,0,6.5,0,2,1,10,0
2010,0,11,0,1,1,1,3,4,0,0,0,0,4,0,100.0,0,0,11,4,3,2,2,0,5,3,0,3,5,0,2,4,1,2,0,18.58,2,4,0,1,1
2010,1,41,0,0,1,0,1,2,1,0,0,0,0,1,100.0,0,3,11,4,0,2,2,0,1,3,1,1,5,2,5,5,5,4,0,13.48,0,1,1,4,0
2010,1,20,1,0,1,0,1,3,0,0,0,1,2,0,100.0,0,0,10,4,0,2,1,0,1,4,2,5,0,2,5,5,5,4,0,18.2,2,4,0,10,0
2010,0,2,0,0,2,0,2,1,0,0,0,1,0,0,70.0,0,2,11,4,0,2,2,1,1,3,0,7,5,0,5,4,4,2,0,7.1,0,5,1,8,0
2010,1,11,0,0,1,0,1,2,0,0,0,1,1,0,30.0,0,3,11,4,0,2,1,1,1,5,0,5,3,2,5,5,5,4,0,15.15,2,4,3,9,0
2010,0,12,3,0,1,1,2,2,0,0,0,0,1,1,100.0,0,2,8,4,0,0,1,0,1,4,0,6,3,0,5,4,1,3,0,10.45,0,4,2,10,0
2010,1,13,0,0,1,0,1,2,0,0,0,1,0,1,100.0,0,3,11,4,0,2,2,0,1,3,0,6,5,2,5,5,5,4,0,15.35,2,4,3,12,0
2010,0,21,0,1,0,1,2,2,0,0,0,1,1,0,90.0,0,1,11,4,0,2,2,1,1,3,0,3,5,0,5,4,2,2,0,11.42,0,4,1,7,1
2010,0,1,1,1,0,0,1,1,0,0,0,1,0,0,100.0,0,2,11,4,0,2,0,0,5,4,0,12,3,0,5,0,0,3,0,4.0,1,3,2,7,1
2010,1,35,1,0,1,0,1,2,1,0,0,0,1,0,100.0,0,0,11,4,0,2,1,0,1,4,2,1,3,2,4,5,5,4,0,10.55,0,1,1,6,0
2010,0,23,3,0,1,0,1,1,0,0,0,1,0,0,100.0,0,0,11,4,0,2,2,0,1,3,0,7,5,0,5,4,4,2,0,13.55,0,5,0,4,0
2010,1,11,0,0,1,0,1,2,1,0,0,0,1,0,100.0,0,0,11,4,0,2,2,0,4,3,0,1,5,2,5,5,5,4,0,19.38,2,1,3,11,0
2010,1,23,3,1,0,0,1,2,1,0,0,0,0,1,100.0,0,0,11,4,0,2,1,0,4,6,2,1,0,2,5,5,3,2,0,1.2,1,1,3,11,1
2010,1,13,0,0,1,0,1,2,0,0,0,1,1,0,100.0,0,3,11,4,0,2,2,0,1,3,2,4,5,2,5,5,5,4,0,18.1,2,4,3,3,0
2010,0,10,1,0,1,9,10,2,0,0,0,0,0,2,100.0,0,1,11,4,0,2,2,0,0,3,0,6,5,0,5,4,4,2,0,7.27,0,4,1,1,0
2010,0,2,0,1,0,1,2,2,0,1,0,1,0,0,50.0,0,1,11,4,0,2,0,1,1,4,0,4,0,0,5,4,4,3,0,10.05,0,4,0,1,1
2010,1,13,0,0,1,0,1,2,1,0,0,0,1,0,100.0,0,3,11,4,0,2,1,0,4,2,2,1,0,2,5,5,5,4,0,19.15,2,1,1,11,0
2010,0,17,0,0,1,0,1,1,0,0,0,1,0,0,60.0,0,4,11,4,0,2,2,1,0,3,0,12,5,0,5,4,1,2,0,8.04,0,3,2,5,0
2010,1,1,1,0,1,0,1,2,0,0,0,1,1,0,100.0,0,0,11,4,0,2,1,0,1,6,0,5,0,2,5,5,5,4,0,9.0,0,4,3,8,0
2010,0,20,1,0,2,0,2,4,0,0,0,0,4,0,100.0,0,2,11,4,0,2,2,0,1,3,0,6,5,0,5,4,5,2,0,13.53,0,4,2,5,0
2010,0,42,0,0,1,0,1,2,0,1,0,0,0,1,100.0,0,0,11,4,0,2,1,0,1,6,0,6,2,0,5,4,1,2,0,16.5,2,4,1,7,0
